# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       28      19       6.525e+01       1.094e+02       4.758e-03       1.120e+00    0
       28      20       6.100e+01       1.103e+02       3.802e-03       1.634e+00    0
       28      21       5.707e+01       1.113e+02       4.349e-03       1.036e+00    0
       28      22       5.336e+01       1.125e+02       4.116e-03       1.529e+00    0
       28      23       4.980e+01       1.138e+02       4.326e-03       1.410e+00    0
       28      24       4.630e+01       1.153e+02       4.652e-03       1.312e+00    0
       28      25       4.278e+01       1.172e+02       5.225e-03       7.483e-01    0
       28      26       3.918e+01       1.195e+02       5.240e-03       1.424e+00    0
       28      27       3.545e+01       1.222e+02       5.837e-03       1.512e+00    0
       28      28       3.154e+01       1.257e+02       6.677e-03       7.781e-01    0
       28      29       2.747e+01       1.301e+02       6.973e-03       8.964e-01    0
       28      30       2.330e+01       1.358e+02       4.490e-03       1.042e+00    0
       28      31       1.918e+01       1.433e+02       0.000e+00       0.000e+00    1
       28      32       1.541e+01       1.533e+02       0.000e+00       0.000e+00    1
       28      37       1.685e+01       2.240e+02       6.423e-03       5.589e-01    0
       28      38       2.081e+01       2.330e+02       6.710e-03       3.621e-01    0
       28      39       2.498e+01       2.397e+02       6.422e-03       2.158e-01    0
       28      40       2.912e+01       2.448e+02       5.840e-03       7.802e-01    0
       28      41       3.313e+01       2.488e+02       4.935e-03       5.928e-01    0
       28      42       3.697e+01       2.520e+02       5.012e-03       8.595e-01    0
       28      43       4.064e+01       2.545e+02       4.785e-03       9.003e-01    0
       28      44       4.420e+01       2.566e+02       4.210e-03       1.759e+00    0
       28      45       4.770e+01       2.583e+02       3.983e-03       2.103e+00    0
